"Date","Time","Agent ID","Hostname","Local IP","Public IP","Event","Details","Uptime (min)","Idle (min)","Active (min)","Downtime (min)","State"
"2026-05-15","22:12:39","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-wake","System woke up | Boot: 2026-05-14T22:03:38+05:30 | Downtime: N/A","0","0","0","","active"
"2026-05-15","22:12:39","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-wake","System woke up | Boot: 2026-05-14T22:03:38+05:30 | Downtime: N/A","0","0","0","","active"
"2026-05-16","04:18:39","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-sleep","System shutdown/sleep | Session: 366min | Last state: active | Uptime: 0min","0","0","0","","offline"
"2026-05-16","05:09:13","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-wake","System woke up | Boot: 2026-05-14T22:03:38+05:30 | Downtime: 51min","0","0","0","51","active"
"2026-05-16","05:24:34","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-sleep","System shutdown/sleep | Session: 15min | Last state: active | Uptime: 0min","0","0","0","","offline"
"2026-05-16","06:08:05","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-wake","System woke up | Boot: 2026-05-14T22:03:38+05:30 | Downtime: 44min","0","0","0","44","active"
"2026-05-16","06:19:48","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-sleep","System shutdown/sleep | Session: 12min | Last state: active | Uptime: 0min","0","0","0","","offline"
"2026-05-16","06:26:56","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-wake","System woke up | Boot: 2026-05-14T22:03:38+05:30 | Downtime: 7min","0","0","0","7","active"
"2026-05-16","07:14:19","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-sleep","System shutdown/sleep | Session: 47min | Last state: active | Uptime: 0min","0","0","0","","offline"
"2026-05-16","08:15:38","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-wake","System woke up | Boot: 2026-05-14T22:03:38+05:30 | Downtime: 61min","0","0","0","61","active"
"2026-05-16","08:15:58","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-sleep","System shutdown/sleep | Session: 0min | Last state: active | Uptime: 0min","0","0","0","","offline"
"2026-05-16","08:16:14","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-wake","System woke up | Boot: 2026-05-14T22:03:38+05:30 | Downtime: N/A","0","0","0","0","active"
"2026-05-16","08:16:35","PuneetU-EB6LMJD-18af7cb1","PuneetU-EB6LMJD","169.254.182.38","43.247.40.101","system-sleep","System shutdown/sleep | Session: 0min | Last state: active | Uptime: 0min","0","0","0","","offline"
